Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
220;21101088827;"Journal of the ASABE";journal;"27693287, 27693295";"American Society of Agricultural and Biological Engineers";No;No;0,328;Q3;118;115;429;5080;605;429;1,21;44,17;26,51;0;51;United States;Northern America;"American Society of Agricultural and Biological Engineers";"2022-2025";"Agronomy and Crop Science (Q2); Forestry (Q2); Biomedical Engineering (Q3); Food Science (Q3); Soil Science (Q3)";"Agricultural and Biological Sciences; Engineering"
221;21101123122;"Recent Advances in Food, Nutrition and Agriculture";journal;"27725758, 2772574X";"Bentham Science Publishers";No;No;0,325;Q3;4;17;27;1739;57;25;2,11;102,29;44,78;0;9;United Arab Emirates;Middle East;"Bentham Science Publishers";"2022-2025";"Agronomy and Crop Science (Q3); Food Science (Q3)";"Agricultural and Biological Sciences"
222;21101121582;"Caraka Tani: Journal of Sustainable Agriculture";journal;"25992570, 26139456";"Sebelas Maret University";Yes;No;0,313;Q3;11;33;99;1811;172;99;1,86;54,88;46,34;0;24;Indonesia;Asiatic Region;"Sebelas Maret University";"2019-2025";"Agricultural and Biological Sciences (miscellaneous) (Q2); Agronomy and Crop Science (Q3); Environmental Science (miscellaneous) (Q3); Food Science (Q3)";"Agricultural and Biological Sciences; Environmental Science"
223;21100856193;"Nutrition and Healthy Aging";journal;"24519480, 24519502";"SAGE Publications Ltd";Yes;No;0,313;Q3;21;10;53;684;53;53;0,66;68,40;53,85;0;3;Netherlands;Western Europe;"SAGE Publications Ltd";"2017-2024";"Food Science (Q3); Medicine (miscellaneous) (Q3); Nutrition and Dietetics (Q3); Biochemistry (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine; Nursing"
224;21101066400;"Bioactive Compounds in Health and Disease";journal;"25740334, 27692426";"Functional Food Institute";No;No;0,309;Q3;13;51;68;2395;202;67;2,70;46,96;53,42;0;29;United States;Northern America;"Functional Food Institute";"2018-2025";"Food Science (Q3)";"Agricultural and Biological Sciences"
225;144654;"Nutrition and Food Science";journal;"00346659";"Emerald Group Publishing Ltd.";No;No;0,309;Q3;44;105;248;5375;398;247;1,53;51,19;62,37;0;51;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1971-2025";"Food Science (Q3); Nutrition and Dietetics (Q3)";"Agricultural and Biological Sciences; Nursing"
226;21964;"Czech Journal of Food Sciences";journal;"12121800, 18059317";"Czech Academy of Agricultural Sciences";Yes;No;0,308;Q3;57;48;157;1365;251;157;1,27;28,44;43,84;0;8;Czech Republic;Eastern Europe;"Czech Academy of Agricultural Sciences";"1999-2024";"Food Science (Q3)";"Agricultural and Biological Sciences"
227;21101089389;"Food Science and Applied Biotechnology";journal;"26033380";"University of Food Technologies Plovdiv";No;No;0,306;Q3;11;30;82;1583;138;78;1,98;52,77;49,33;0;8;Bulgaria;Eastern Europe;"University of Food Technologies Plovdiv";"2019-2024";"Analytical Chemistry (Q3); Biotechnology (Q3); Food Science (Q3); Inorganic Chemistry (Q3); Organic Chemistry (Q3); Physical and Theoretical Chemistry (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry"
228;21100205927;"Journal of Oil Palm Research";journal;"15112780";"Lembaga Minyak Sawit Malaysia";No;No;0,306;Q3;35;60;174;2729;263;174;1,53;45,48;39,15;1;26;Malaysia;Asiatic Region;"Lembaga Minyak Sawit Malaysia";"2008-2024";"Agronomy and Crop Science (Q3); Food Science (Q3); Renewable Energy, Sustainability and the Environment (Q3); Biomaterials (Q4)";"Agricultural and Biological Sciences; Energy; Materials Science"
229;21100932525;"International Journal of Food Design";journal;"20566530, 20566522";"Intellect Ltd.";Yes;Yes;0,303;Q3;13;12;35;671;54;30;1,40;55,92;61,54;0;3;United Kingdom;Western Europe;"Intellect Ltd.";"2016-2024";"Visual Arts and Performing Arts (Q1); Food Science (Q3)";"Agricultural and Biological Sciences; Arts and Humanities"
230;21100847272;"Applied Food Biotechnology";journal;"24234214, 23455357";"National Nutrition and Food Technology Research Institute";Yes;No;0,298;Q3;27;42;81;2060;157;80;1,90;49,05;52,86;0;12;Iran;Middle East;"National Nutrition and Food Technology Research Institute";"2014-2025";"Applied Microbiology and Biotechnology (Q3); Biotechnology (Q3); Food Science (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
231;21100970232;"Journal of Applied Biology and Biotechnology";journal;"2347212X";"Open Science Publishers LLP Inc.";Yes;No;0,296;Q3;20;184;476;9740;876;459;1,90;52,93;42,23;0;82;India;Asiatic Region;"Open Science Publishers LLP Inc.";"2019-2025";"Agronomy and Crop Science (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Biotechnology (Q3); Food Science (Q3); Plant Science (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
232;21100777291;"Foods and Raw Materials";journal;"23084057, 23109599";"Kemerovo State University";Yes;Yes;0,295;Q3;18;35;120;2292;236;120;2,12;65,49;55,24;0;9;Russian Federation;Eastern Europe;"Kemerovo State University";"2013-2025";"Food Science (Q3)";"Agricultural and Biological Sciences"
233;19200157040;"Ciencia e Agrotecnologia";journal;"14137054, 19811829";"Federal University of Lavras";Yes;No;0,293;Q3;41;54;149;2383;205;149;1,11;44,13;39,15;0;17;Brazil;Latin America;"Federal University of Lavras";"2007-2025";"Veterinary (miscellaneous) (Q2); Agronomy and Crop Science (Q3); Animal Science and Zoology (Q3); Food Science (Q3); Soil Science (Q3)";"Agricultural and Biological Sciences; Veterinary"
234;96395;"Agricultural and Food Science";journal;"14596067";"MTT Agrifood Research Finland";Yes;Yes;0,291;Q3;44;22;59;1122;72;58;1,16;51,00;58,76;0;8;Finland;Western Europe;"MTT Agrifood Research Finland";"2004-2024";"Food Science (Q3)";"Agricultural and Biological Sciences"
235;78505;"Italian Review of Agricultural Economics";journal;"22811559, 00356190";"Firenze University Press";No;No;0,289;Q3;7;24;66;1167;84;60;1,36;48,63;48,00;1;16;Italy;Western Europe;"Firenze University Press";"1978-1979, 2019-2024";"Economics, Econometrics and Finance (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Agronomy and Crop Science (Q3); Animal Science and Zoology (Q3); Development (Q3); Food Science (Q3); Geography, Planning and Development (Q3)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Social Sciences"
236;4700152500;"Revista Brasileira de Fruticultura";journal;"01002945";"Sociedade Brasileira de Fruticultura";Yes;No;0,288;Q3;39;42;188;1187;191;188;0,92;28,26;34,97;0;5;Brazil;Latin America;"Sociedade Brasileira de Fruticultura";"2006-2024";"Horticulture (Q2); Agronomy and Crop Science (Q3); Food Science (Q3); Plant Science (Q3)";"Agricultural and Biological Sciences"
237;4700152841;"Journal of Culinary Science and Technology";journal;"15428052";"Taylor and Francis Ltd.";No;No;0,286;Q3;28;130;144;6783;221;141;1,39;52,18;57,11;0;26;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2006-2025";"Food Science (Q3)";"Agricultural and Biological Sciences"
238;21100983143;"Functional Foods in Health and Disease";journal;"23787007, 21603855";"Functional Food Center Inc.";Yes;No;0,285;Q3;30;70;150;3026;337;150;1,80;43,23;48,91;0;32;United States;Northern America;"Functional Food Center Inc.";"2011-2025";"Food Science (Q3); Medicine (miscellaneous) (Q3); Nutrition and Dietetics (Q3); Biochemistry (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine; Nursing"
239;21100367873;"Journal of Horticultural Research";journal;"23005009, 23533978";"Sciendo";Yes;Yes;0,284;Q3;18;20;75;841;102;75;0,84;42,05;43,06;0;4;Poland;Eastern Europe;"Sciendo";"2014-2024";"Horticulture (Q2); Agronomy and Crop Science (Q3); Food Science (Q3); Plant Science (Q3); Soil Science (Q3)";"Agricultural and Biological Sciences"
240;17600155207;"Mediterranean Journal of Nutrition and Metabolism";journal;"19737998, 1973798X";"SAGE Publications Ltd";No;No;0,276;Q3;26;19;108;955;114;108;0,97;50,26;53,19;0;7;Netherlands;Western Europe;"SAGE Publications Ltd";"2008-2024";"Food Science (Q3); Nutrition and Dietetics (Q3); Endocrinology, Diabetes and Metabolism (Q4)";"Agricultural and Biological Sciences; Medicine; Nursing"
241;13600154752;"South African Journal of Enology and Viticulture";journal;"0253939X";"South African Society for Enology and Viticulture";Yes;No;0,275;Q3;38;11;53;547;75;53;1,13;49,73;34,62;0;4;South Africa;Africa;"South African Society for Enology and Viticulture";"2004-2024";"Food Science (Q3); Horticulture (Q3)";"Agricultural and Biological Sciences"
242;21101071243;"Canrea Journal: Food Technology, Nutritions, and Culinary Journal";journal;"26219468";"Hasanuddin University Department of Food Science and Technology";No;No;0,274;Q3;8;16;44;817;68;44;1,44;51,06;49,06;0;8;Indonesia;Asiatic Region;"Hasanuddin University Department of Food Science and Technology";"2018-2024";"Food Science (Q3)";"Agricultural and Biological Sciences"
243;21100450083;"Eastern-European Journal of Enterprise Technologies";journal;"17293774, 17294061";"Technology Center";Yes;No;0,274;Q3;41;544;1749;13273;2373;1749;1,47;24,40;37,06;0;170;Ukraine;Eastern Europe;"Technology Center";"2013-2025";"Applied Mathematics (Q3); Computer Science Applications (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Energy Engineering and Power Technology (Q3); Food Science (Q3); Industrial and Manufacturing Engineering (Q3); Management of Technology and Innovation (Q3); Mechanical Engineering (Q3); Environmental Chemistry (Q4)";"Agricultural and Biological Sciences; Business, Management and Accounting; Computer Science; Energy; Engineering; Environmental Science; Mathematics"
244;21101047122;"Journal of Nanjing Forestry University (Natural Sciences Edition)";journal;"10002006";"Nanjing Forestry University";No;No;0,274;Q3;11;192;524;6992;570;524;1,25;36,42;44,16;0;75;China;Asiatic Region;"Nanjing Forestry University";"1988, 2019-2025";"Food Science (Q3); Nature and Landscape Conservation (Q3); Soil Science (Q3)";"Agricultural and Biological Sciences; Environmental Science"
245;25860;"Grasas y Aceites";journal;"00173495, 19884214";"CSIC Consejo Superior de Investigaciones Cientificas";Yes;Yes;0,272;Q3;59;36;145;1101;175;145;1,09;30,58;56,38;0;5;Spain;Western Europe;"CSIC Consejo Superior de Investigaciones Cientificas";"1991-2024";"Food Science (Q3); Organic Chemistry (Q4)";"Agricultural and Biological Sciences; Chemistry"
246;23201;"Food Science and Technology Research";journal;"13446606";"Japanese Society for Food Science and Technology";No;No;0,271;Q3;55;71;205;2402;209;205;1,05;33,83;31,67;0;6;Switzerland;Western Europe;"Japanese Society for Food Science and Technology";"1999-2025";"Biotechnology (Q3); Chemical Engineering (miscellaneous) (Q3); Food Science (Q3); Industrial and Manufacturing Engineering (Q3); Marketing (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Business, Management and Accounting; Chemical Engineering; Engineering"
247;21101147581;"Food and Feed Research";journal;"22175660, 22175369";"University of Novi Sad Institute of Food Technology in Novi Sad";Yes;Yes;0,270;Q3;8;22;38;715;51;38;1,50;32,50;75,25;0;6;Serbia;Eastern Europe;"University of Novi Sad Institute of Food Technology in Novi Sad";"2019-2024";"Biotechnology (Q3); Food Science (Q3); Nutrition and Dietetics (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Nursing"
248;17300154973;"Acta Scientiarum Polonorum, Technologia Alimentaria";journal;"16440730";"Wydawnictwo Uniwersytetu Przyrodniczego w Poznaniu";Yes;No;0,269;Q3;39;40;120;1692;153;120;0,95;42,30;47,13;0;7;Poland;Eastern Europe;"Wydawnictwo Uniwersytetu Przyrodniczego w Poznaniu";"2009-2024";"Food Science (Q3)";"Agricultural and Biological Sciences"
249;21100432467;"Brazilian Journal of Food Technology";journal;"15167275, 19816723";"Instituto de Tecnologia de Alimentos - ITAL";Yes;No;0,262;Q3;22;48;175;2228;229;175;1,21;46,42;54,84;0;15;Brazil;Latin America;"Instituto de Tecnologia de Alimentos - ITAL";"2015-2025";"Food Science (Q3)";"Agricultural and Biological Sciences"
250;21101261366;"JSFA reports";journal;"25735098";"John Wiley and Sons Ltd";No;No;0,261;Q3;6;36;121;1630;138;120;1,14;45,28;44,00;0;10;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2021-2025";"Agricultural and Biological Sciences (miscellaneous) (Q3); Agronomy and Crop Science (Q3); Food Science (Q3); Horticulture (Q3)";"Agricultural and Biological Sciences"
251;21101204645;"Anbar Journal of Agricultural Sciences";journal;"19927479, 26176211";"University of Anbar";Yes;No;0,260;Q3;5;115;58;3549;123;58;2,12;30,86;34,81;0;30;Iraq;Middle East;"University of Anbar";"2023-2024";"Agronomy and Crop Science (Q3); Animal Science and Zoology (Q3); Food Science (Q3); Horticulture (Q3)";"Agricultural and Biological Sciences"
252;21100781875;"International Journal of Food Studies";journal;"21821054";"ISEKI Food Association";Yes;No;0,260;Q3;20;15;69;553;85;69;1,31;36,87;54,35;0;3;Austria;Western Europe;"ISEKI Food Association";"2013-2024";"Food Science (Q3)";"Agricultural and Biological Sciences"
253;21100790932;"Current Research in Nutrition and Food Science";journal;"2347467X, 23220007";"Enviro Research Publishers";Yes;No;0,258;Q3;32;110;307;5484;408;305;1,31;49,85;51,28;0;50;India;Asiatic Region;"Enviro Research Publishers";"2013-2024";"Food Science (Q3); Medicine (miscellaneous) (Q3)";"Agricultural and Biological Sciences; Medicine"
254;13000154721;"International Food Research Journal";journal;"22317546, 19854668";"Universiti Putra Malaysia";Yes;No;0,255;Q3;74;110;395;4745;477;395;1,14;43,14;50,15;0;16;Malaysia;Asiatic Region;"Universiti Putra Malaysia";"2007-2024";"Food Science (Q3)";"Agricultural and Biological Sciences"
255;21100945961;"Squalen Bulletin of Marine and Fisheries Postharvest and Biotechnology";journal;"20895690, 24069272";"Research and Development Center for Marine and Fisheries Product Processing and Biotechnology";Yes;Yes;0,255;Q3;8;20;56;1010;64;52;1,13;50,50;60,94;0;5;Indonesia;Asiatic Region;"Research and Development Center for Marine and Fisheries Product Processing and Biotechnology";"2019-2024";"Aquatic Science (Q3); Biotechnology (Q3); Ecology (Q3); Food Science (Q3); Pollution (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science"
256;21100787827;"Future of Food: Journal on Food, Agriculture and Society";journal;"2197411X";"University of Kassel";Yes;No;0,254;Q3;12;13;95;549;142;95;1,33;42,23;63,89;0;10;Germany;Western Europe;"University of Kassel";"2013-2024";"Agronomy and Crop Science (Q3); Ecology (Q3); Food Science (Q3)";"Agricultural and Biological Sciences; Environmental Science"
257;38299;"Journal of Wine Research";journal;"09571264, 14699672";"Routledge";No;No;0,254;Q3;41;21;47;1139;72;46;1,65;54,24;44,26;0;6;United Kingdom;Western Europe;"Routledge";"1990-1997, 2000-2025";"Food Science (Q3); Horticulture (Q3)";"Agricultural and Biological Sciences"
258;74286;"AgBioForum";journal;"1522936X";"University of Missouri";Yes;No;0,253;Q3;45;26;107;1105;210;107;2,05;42,50;40,98;0;20;United States;Northern America;"University of Missouri";"1998-2024";"Agronomy and Crop Science (Q3); Biotechnology (Q3); Economics and Econometrics (Q3); Food Science (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Economics, Econometrics and Finance"
259;6000195387;"Mljekarstvo";journal;"0026704X, 18464025";"Hrvatska Mljekarska Udruga";Yes;Yes;0,252;Q3;26;26;73;1392;92;73;1,34;53,54;55,83;0;3;Croatia;Eastern Europe;"Hrvatska Mljekarska Udruga";"2007-2025";"Animal Science and Zoology (Q3); Food Science (Q3)";"Agricultural and Biological Sciences"
260;19600162007;"Acta Scientiarum - Animal Sciences";journal;"18062636, 18078672";"Universidade Estadual de Maringa";Yes;Yes;0,251;Q3;23;59;160;2030;146;160;0,82;34,41;38,79;0;10;Brazil;Latin America;"Universidade Estadual de Maringa";"2009-2025";"Animal Science and Zoology (Q3); Food Science (Q3)";"Agricultural and Biological Sciences"
261;21100904224;"Food Research";journal;"25502166";"Rynnye Lyan Resources";Yes;No;0,249;Q3;25;396;1040;15161;1239;1040;0,95;38,29;50,06;0;93;Malaysia;Asiatic Region;"Rynnye Lyan Resources";"2017-2024";"Food Science (Q3)";"Agricultural and Biological Sciences"
262;21101038525;"Jurnal Ilmiah Perikanan dan Kelautan";journal;"20855842, 25280759";"Faculty of Fisheries and Marine Universitas Airlangga";Yes;No;0,249;Q3;9;38;108;1997;136;107;1,13;52,55;42,55;0;23;Indonesia;Asiatic Region;"Faculty of Fisheries and Marine Universitas Airlangga";"2019-2024";"Animal Science and Zoology (Q3); Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Food Science (Q3)";"Agricultural and Biological Sciences"
263;19700174679;"Range Management and Agroforestry";journal;"09712070";"Range Management Society of India";No;No;0,248;Q3;15;27;146;809;74;143;0,40;29,96;25,77;0;6;India;Asiatic Region;"Range Management Society of India";"2009-2024";"Agronomy and Crop Science (Q3); Food Science (Q3); Forestry (Q3)";"Agricultural and Biological Sciences"
264;37388;"Agriculture and Forestry";journal;"18009492, 05545579";"University of Montenegro";Yes;Yes;0,244;Q3;13;65;208;2544;236;206;1,27;39,14;47,88;0;32;Montenegro;Eastern Europe;"University of Montenegro";"1979, 1981-1983, 1985-1986, 2019-2024";"Agronomy and Crop Science (Q3); Food Science (Q3); Forestry (Q3); Nature and Landscape Conservation (Q3); Plant Science (Q3); Soil Science (Q3)";"Agricultural and Biological Sciences; Environmental Science"
265;21100869867;"Asian Fisheries Science";journal;"20733720, 01166514";"Asian Fisheries Society";Yes;Yes;0,244;Q3;16;21;84;1259;102;83;0,85;59,95;34,43;0;11;Malaysia;Asiatic Region;"Asian Fisheries Society";"2009, 2017-2024";"Aquatic Science (Q3); Ecology (Q3); Food Science (Q3)";"Agricultural and Biological Sciences; Environmental Science"
266;21100823448;"Journal of Microbiology, Biotechnology and Food Sciences";journal;"13385178";"Faculty of Biotechnology and Food Sciences, Slovak University of Agriculture";Yes;No;0,243;Q3;24;168;562;7632;672;562;1,15;45,43;48,49;0;54;Slovakia;Eastern Europe;"Faculty of Biotechnology and Food Sciences, Slovak University of Agriculture";"2016-2025";"Biotechnology (Q3); Food Science (Q3); Microbiology (Q4); Molecular Biology (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
267;21100456788;"International Journal on Food System Dynamics";journal;"18696945";"CentMa GmbH";Yes;Yes;0,241;Q3;23;47;84;2577;124;84;1,51;54,83;47,62;0;29;Germany;Western Europe;"CentMa GmbH";"2010-2024";"Business and International Management (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Environmental Science (miscellaneous) (Q3); Food Science (Q3); Geography, Planning and Development (Q3); Management Science and Operations Research (Q4); Transportation (Q4)";"Agricultural and Biological Sciences; Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
268;18866;"Revue d'Elevage et de Medecine Veterinaire des Pays Tropicaux (France)";journal;"19516711, 00351865";"CIRAD";Yes;Yes;0,241;Q3;11;28;64;1192;58;64;0,81;42,57;26,23;0;9;France;Western Europe;"CIRAD";"1961, 1965-1996, 2019-2024";"Animal Science and Zoology (Q3); Ecology (Q3); Food Science (Q3); Veterinary (miscellaneous) (Q3)";"Agricultural and Biological Sciences; Environmental Science; Veterinary"
269;20759;"Shokuhin eiseigaku zasshi. Journal of the Food Hygienic Society of Japan";journal;"18821006, 00156426";"Food Hygienic Society of Japan";No;No;0,241;Q3;30;29;108;347;40;108;0,35;11,97;36,00;0;3;Japan;Asiatic Region;"Food Hygienic Society of Japan";"1960-2024";"Food Science (Q3); Public Health, Environmental and Occupational Health (Q3); Medicine (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Medicine"
270;19700171104;"Ciencia e Tecnica Vitivinicola";journal;"24163953, 02540223";"Instituto Nacional de Investigacao Agraria e das Pescas";Yes;Yes;0,239;Q3;18;10;42;514;47;42;1,26;51,40;25,00;0;4;Portugal;Western Europe;"Instituto Nacional de Investigacao Agraria e das Pescas";"2008-2024";"Food Science (Q3); Horticulture (Q3)";"Agricultural and Biological Sciences"
271;21101232819;"World Food Policy";journal;"23728639";"John Wiley and Sons Inc";No;No;0,238;Q3;7;12;36;749;41;36;1,23;62,42;20,69;0;9;United States;Northern America;"John Wiley and Sons Inc";"2014-2024";"Agricultural and Biological Sciences (miscellaneous) (Q3); Food Science (Q3); Political Science and International Relations (Q3); Social Sciences (miscellaneous) (Q3)";"Agricultural and Biological Sciences; Social Sciences"
272;21101045216;"Eurobiotech Journal";journal;"2564615X";"";Yes;Yes;0,236;Q3;13;21;51;1088;61;48;1,03;51,81;32,67;0;5;Poland;Eastern Europe;"";"2019-2025";"Biotechnology (Q3); Food Science (Q3); Biomedical Engineering (Q4); Genetics (Q4); Molecular Biology (Q4); Molecular Medicine (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Engineering"
273;21100901776;"Journal of Food Science and Technology (China)";journal;"20956002";"Beijing Technology and Business University, Department of Science and Technology";No;No;0,234;Q3;11;79;312;2960;362;312;1,22;37,47;44,80;0;15;China;Asiatic Region;"Beijing Technology and Business University, Department of Science and Technology";"2018-2024";"Food Science (Q3)";"Agricultural and Biological Sciences"
274;11600153301;"Journal of the Korean Society of Food Science and Nutrition";journal;"22885978, 12263311";"Korean Society of Food Science and Nutrition";No;No;0,233;Q3;31;146;461;5626;369;461;0,80;38,53;54,02;0;30;South Korea;Asiatic Region;"Korean Society of Food Science and Nutrition";"2007-2025";"Food Science (Q3); Nutrition and Dietetics (Q3)";"Agricultural and Biological Sciences; Nursing"
275;21101058165;"Nutrire";journal;"23167874, 15198928";"Springer Nature";No;No;0,233;Q3;18;60;108;3447;109;108;1,09;57,45;53,95;0;33;United States;Northern America;"Springer Nature";"2016-2025";"Food Science (Q3); Nutrition and Dietetics (Q3); Public Health, Environmental and Occupational Health (Q3); Biochemistry (Q4); Endocrinology, Diabetes and Metabolism (Q4); Physiology (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine; Nursing"
276;4700152433;"Current Nutrition and Food Science";journal;"22123881, 15734013";"Bentham Science Publishers";No;No;0,230;Q3;34;127;294;9847;347;286;1,22;77,54;52,52;0;54;United Arab Emirates;Middle East;"Bentham Science Publishers";"2006-2025";"Food Science (Q3); Nutrition and Dietetics (Q3); Public Health, Environmental and Occupational Health (Q3)";"Agricultural and Biological Sciences; Medicine; Nursing"
277;20556;"Italian Journal of Food Science";journal;"11201770, 22395687";"Codon Publications";Yes;No;0,229;Q3;43;90;137;4412;578;137;3,93;49,02;45,88;0;27;Singapore;Asiatic Region;"Codon Publications";"1996-2025";"Food Science (Q3)";"Agricultural and Biological Sciences"
278;21101169888;"Biotech Studies";journal;"27575233, 26873761";"Field Crops Central Research Institute";No;No;0,227;Q3;6;14;32;675;38;32;1,24;48,21;39,29;0;5;Turkey;Middle East;"Field Crops Central Research Institute";"2020-2024";"Agricultural and Biological Sciences (miscellaneous) (Q3); Applied Microbiology and Biotechnology (Q3); Food Science (Q3); Biotechnology (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
279;20860;"Acta Alimentaria";journal;"01393006, 15882535";"Akademiai Kiado";No;No;0,226;Q3;35;49;170;1338;190;169;1,08;27,31;47,95;0;6;Hungary;Eastern Europe;"Akademiai Kiado";"1973-1975, 1996-2024";"Food Science (Q3)";"Agricultural and Biological Sciences"
280;21101046165;"Boletin de la Asociacion Espanola de Entomologia";journal;"02108984";"Asociacion espanola de Entomologia";Yes;No;0,225;Q3;6;39;105;1059;29;67;0,23;27,15;16,67;0;6;Spain;Western Europe;"Asociacion espanola de Entomologia";"1994-1997, 2019-2024";"Ecology (Q3); Food Science (Q3); Insect Science (Q4)";"Agricultural and Biological Sciences; Environmental Science"
281;21100200820;"Emirates Journal of Food and Agriculture";journal;"20790538, 2079052X";"Pensoft Publishers";Yes;No;0,225;Q3;48;54;369;2647;356;369;0,88;49,02;29,72;0;28;United Arab Emirates;Middle East;"Pensoft Publishers";"1996-2025";"Agronomy and Crop Science (Q3); Animal Science and Zoology (Q3); Applied Microbiology and Biotechnology (Q3); Food Science (Q3)";"Agricultural and Biological Sciences; Immunology and Microbiology"
282;21101039081;"International Journal of Sociology of Agriculture and Food";journal;"25241982, 07981759";"Michigan State University Press";No;No;0,224;Q3;6;11;36;699;28;36;0,62;63,55;66,67;0;8;United States;Northern America;"Michigan State University Press";"2019-2024";"Cultural Studies (Q2); Food Science (Q3); Sociology and Political Science (Q3)";"Agricultural and Biological Sciences; Social Sciences"
283;21100228052;"Annals of the University Dunarea de Jos of Galati, Fascicle VI: Food Technology";journal;"2068259X, 18435157";"Galati University Press";Yes;Yes;0,223;Q3;14;13;78;626;76;78;0,75;48,15;55,41;0;4;Romania;Eastern Europe;"Galati University Press";"2012-2024";"Food Science (Q3); Industrial and Manufacturing Engineering (Q3)";"Agricultural and Biological Sciences; Engineering"
284;19700170837;"Vitae";journal;"21452660, 01214004";"Universidad de Antioquia";Yes;No;0,222;Q3;19;11;45;494;52;45;0,96;44,91;41,86;0;4;Colombia;Latin America;"Universidad de Antioquia";"2009-2024";"Food Science (Q3); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q3); Applied Microbiology and Biotechnology (Q4)";"Agricultural and Biological Sciences; Immunology and Microbiology; Pharmacology, Toxicology and Pharmaceutics"
285;21101163377;"International Journal of Nutrition Sciences";journal;"25381873, 25382829";"Shiraz University of Medical Sciences";Yes;No;0,220;Q3;8;40;95;1393;91;90;0,70;34,83;43,71;0;22;Iran;Middle East;"Shiraz University of Medical Sciences";"2019-2024";"Food Science (Q3); Nutrition and Dietetics (Q3)";"Agricultural and Biological Sciences; Nursing"
286;21100976732;"Journal of Fruit Science";journal;"10099980";"Editorial Department of Scientia Agricultura Sinica";Yes;No;0,219;Q3;15;249;746;7860;606;746;0,84;31,57;44,88;0;65;China;Asiatic Region;"Editorial Department of Scientia Agricultura Sinica";"2019-2025";"Ecology (Q3); Food Science (Q3); Horticulture (Q3); Biotechnology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Genetics (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science"
287;21100307486;"Bulletin of the International Dairy Federation";conference and proceedings;"02598434";"International Dairy Federation (I.N.P.A.)";No;No;0,219;-;6;6;49;176;23;27;0,59;29,33;0,00;0;1;Belgium;Western Europe;"International Dairy Federation (I.N.P.A.)";"2012-2024";"Animal Science and Zoology; Biochemistry; Food Animals; Food Science; Immunology";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Veterinary"
288;21101210730;"Food Science and Preservation";journal;"30225477, 30225485";"Korean Society of Food Preservation";No;No;0,218;Q3;11;95;291;3803;244;291;0,91;40,03;48,67;0;17;South Korea;Asiatic Region;"Korean Society of Food Preservation";"2024";"Food Science (Q3)";"Agricultural and Biological Sciences"
289;28128;"World Review of Nutrition and Dietetics";journal;"16623975, 00842230";"S. Karger AG";No;No;0,218;Q3;46;11;160;167;104;136;0,22;15,18;0,00;0;4;Switzerland;Western Europe;"S. Karger AG";"1959-1961, 1964-1966, 1968-2001, 2003-2005, 2007-2024";"Food Science (Q3); Nutrition and Dietetics (Q3)";"Agricultural and Biological Sciences; Nursing"
